comparison_type,role,smat_player,smat_team,ipl_player,ipl_team,similarity_rank,similarity_score
batting,finisher,Sumit Kumar,Haryana,CA Ingram,Delhi Capitals,2,77.13
batting,finisher,Sumit Kumar,Haryana,B Chipli,Sunrisers Hyderabad,3,74.67
batting,finisher,Suryansh Shedge,Mumbai,TH David,Mumbai Indians,1,74.46
batting,finisher,Suryansh Shedge,Mumbai,S Arora,Sunrisers Hyderabad,2,67.6
batting,finisher,Suryansh Shedge,Mumbai,Shashank Singh,Punjab Kings,3,67.55
batting,finisher,VR Iyer,Madhya Pradesh,KK Nair,Delhi Capitals,1,74.44
batting,finisher,VR Iyer,Madhya Pradesh,DPMD Jayawardene,Punjab Kings,2,72.55
batting,finisher,VR Iyer,Madhya Pradesh,KC Sangakkara,Punjab Kings,3,69.45
batting,finisher,Vishnu Solanki,Baroda,MC Henriques,Sunrisers Hyderabad,1,73.01
batting,finisher,Vishnu Solanki,Baroda,PK Garg,Sunrisers Hyderabad,2,72.48
batting,finisher,Vishnu Solanki,Baroda,CL White,Sunrisers Hyderabad,3,70.4
batting,finisher,Vishvaraj Jadeja,Saurashtra,SW Billings,Delhi Capitals,1,86.43
batting,finisher,Vishvaraj Jadeja,Saurashtra,DPMD Jayawardene,Punjab Kings,2,84.38
batting,finisher,Vishvaraj Jadeja,Saurashtra,MC Henriques,Sunrisers Hyderabad,3,84.36
batting,middle_order,B Sai Sudharsan,Tamil Nadu,SS Tiwary,Mumbai Indians,1,83.33
batting,middle_order,B Sai Sudharsan,Tamil Nadu,DJ Mitchell,Chennai Super Kings,2,81.67
batting,middle_order,B Sai Sudharsan,Tamil Nadu,MK Tiwary,Kolkata Knight Riders,3,81.34
batting,middle_order,Bhanu Pania,Baroda,DT Christian,Sunrisers Hyderabad,1,84.32
batting,middle_order,Bhanu Pania,Baroda,IK Pathan,Delhi Capitals,2,82.64
batting,middle_order,Bhanu Pania,Baroda,LR Shukla,Kolkata Knight Riders,3,78.32
batting,middle_order,Ganesh Satish,Vidarbha,MC Juneja,Delhi Capitals,1,76.0
batting,middle_order,Ganesh Satish,Vidarbha,N Saini,Punjab Kings,2,71.23
batting,middle_order,Ganesh Satish,Vidarbha,FY Fazal,Rajasthan Royals,3,69.1
