team,recommendation_type,target_role,domestic_player,domestic_team,quality_score,similarity_score,gap_score,reliability_score,recent_form_score,role_fit_score,ml_suitability_score,archetype_role_match_score,cluster_label,archetype_role,final_recommendation_score,closest_ipl_benchmark,closest_ipl_benchmark_team,current_role_count,target_role_count,role_deficit,role_rank,overall_team_rank
Chennai Super Kings,batting,middle_order,SS Sharma,Baroda,58.75,79.22,50.0,67.9,72.36,80.0,82.64,0.0,batting_aggressive_opener_cluster_0,aggressive_opener,61.42,PHKD Mendis,Sunrisers Hyderabad,1,2,1,2,104
Chennai Super Kings,batting,middle_order,UR Kumar,Gujarat,68.39,66.97,50.0,52.5,69.32,86.67,70.24,0.0,batting_aggressive_opener_cluster_0,aggressive_opener,59.1,PHKD Mendis,Sunrisers Hyderabad,1,2,1,3,114
Chennai Super Kings,batting,middle_order,B Sai Sudharsan,Tamil Nadu,52.85,83.33,50.0,100.0,46.33,40.0,79.55,0.0,batting_aggressive_opener_cluster_0,aggressive_opener,57.16,SS Tiwary,Mumbai Indians,1,2,1,4,130
Chennai Super Kings,batting,middle_order,Sudip Chatterjee,Bengal,42.96,92.4,50.0,100.0,14.48,26.67,76.62,0.0,batting_tailender_cluster_1,tailender,51.73,FY Fazal,Rajasthan Royals,1,2,1,5,154
Chennai Super Kings,batting,middle_order,Rex Rajkumar,Manipur,23.28,86.29,50.0,100.0,28.91,73.33,52.7,0.0,batting_tailender_cluster_1,tailender,50.59,M Kaif,Rajasthan Royals,1,2,1,6,157
Chennai Super Kings,batting,middle_order,Ganesh Satish,Vidarbha,32.31,76.0,50.0,100.0,46.3,46.67,45.36,0.0,batting_tailender_cluster_1,tailender,49.19,MC Juneja,Delhi Capitals,1,2,1,7,159
Chennai Super Kings,batting,middle_order,Joseph Lalthankhuma,Mizoram,12.15,89.78,50.0,85.4,24.54,93.33,18.53,0.0,batting_tailender_cluster_1,tailender,45.58,CJ Ferguson,Pune Warriors,1,2,1,8,168
Chennai Super Kings,batting,middle_order,Bhanu Pania,Baroda,25.18,84.32,50.0,100.0,29.7,13.33,59.63,0.0,batting_tailender_cluster_1,tailender,45.45,DT Christian,Sunrisers Hyderabad,1,2,1,9,169
Chennai Super Kings,batting,middle_order,Karan Lal,Bengal,21.64,60.56,50.0,69.2,45.87,53.33,40.62,0.0,batting_tailender_cluster_1,tailender,41.81,LA Carseldine,Rajasthan Royals,1,2,1,10,175
Chennai Super Kings,batting,middle_order,Sanjeet Desai,Chhattisgarh,24.74,49.27,50.0,87.9,24.54,66.67,38.85,0.0,batting_tailender_cluster_1,tailender,41.63,KS Bharat,Royal Challengers Bengaluru,1,2,1,11,177
