dataset,feature,count,missing_count,min,max,mean,median,std
ipl_2026_bowling,economy,127,0,6.0,36.0,10.752,10.14,3.736
ipl_2026_bowling,avg,106,21,7.0,148.0,38.497,32.43,24.385
ipl_2026_bowling,strike_rate,106,21,6.0,90.0,22.817,19.185,13.934
ipl_2026_bowling,pp_economy,92,35,4.5,23.0,11.078,10.255,3.597
ipl_2026_bowling,mid_economy,118,9,5.0,18.0,9.796,9.5,2.234
ipl_2026_bowling,death_economy,104,23,3.5,36.0,11.765,11.0,4.698
ipl_2026_bowling,pp_workload_pct,127,0,0.0,1.0,0.288,0.258,0.268
ipl_2026_bowling,mid_workload_pct,127,0,0.0,1.0,0.504,0.5,0.305
ipl_2026_bowling,death_workload_pct,127,0,0.0,1.0,0.208,0.194,0.184
ipl_2026_bowling,sample_reliability_score,127,0,0.067,1.0,0.656,0.733,0.354
ipl_2026_bowling,two_plus_hauls,127,0,0.0,1.0,0.717,1.0,0.452
ipl_2026_bowling,four_plus_hauls,127,0,0.0,1.0,0.575,1.0,0.496
ipl_2026_bowling,five_wicket_hauls,127,0,0.0,1.0,0.52,1.0,0.502
ipl_2026_bowling,season_start_year,127,0,2026.0,2026.0,2026.0,2026.0,0.0
ipl_2026_current_squad,season,257,0,2026.0,2026.0,2026.0,2026.0,0.0
ipl_2026_current_squad,batting_role,0,257,,,,,
ipl_2026_current_squad,bowling_role,0,257,,,,,
ipl_2026_current_squad,matches_played,257,0,0.0,17.0,6.043,5.0,5.577
ipl_2026_current_squad,batting_innings,257,0,0.0,17.0,4.101,2.0,5.083
ipl_2026_current_squad,runs,257,0,0.0,776.0,93.829,6.0,162.503
ipl_2026_current_squad,balls_faced,257,0,0.0,458.0,60.167,7.0,98.291
ipl_2026_current_squad,fours,257,0,0.0,75.0,8.323,0.0,15.232
ipl_2026_current_squad,sixes,257,0,0.0,72.0,5.14,0.0,9.793
ipl_2026_current_squad,dismissals,257,0,0.0,16.0,3.086,1.0,4.283
ipl_2026_current_squad,batting_strike_rate,162,95,0.0,350.0,129.426,137.12,56.118
ipl_2026_current_squad,batting_average,136,121,0.0,66.5,23.931,21.75,16.399
ipl_2026_current_squad,bowling_innings,257,0,0.0,17.0,3.066,0.0,4.674
ipl_2026_current_squad,balls_bowled,257,0,0.0,388.0,60.023,0.0,98.329
ipl_2026_current_squad,runs_conceded,257,0,0.0,625.0,96.883,0.0,153.149
ipl_2026_current_squad,wickets,257,0,0.0,29.0,3.206,0.0,5.882
ipl_2026_current_squad,bowling_economy,116,141,6.6,36.0,10.626,10.13,3.062
ipl_2026_current_squad,bowling_strike_rate,98,159,6.0,90.0,22.325,18.96,14.07
ipl_2026_current_squad,dot_balls,257,0,0.0,143.0,20.553,3.0,31.955
ipl_2026_current_squad,notes,0,257,,,,,
ipl_2026_match_summary,match_id,39,0,1.0,39.0,20.0,20.0,11.402
ipl_2026_match_summary,first_ings_score,38,1,75.0,264.0,190.526,197.0,39.395
ipl_2026_match_summary,first_ings_wkts,38,1,2.0,10.0,6.289,6.0,2.47
ipl_2026_match_summary,second_ings_score,38,1,77.0,265.0,175.5,180.0,39.748
ipl_2026_match_summary,second_ings_wkts,38,1,1.0,10.0,6.053,5.0,2.671
ipl_2026_match_summary,wb_runs,15,24,1.0,103.0,41.667,40.0,30.659
ipl_2026_match_summary,wb_wickets,22,17,3.0,9.0,5.773,6.0,1.478
ipl_2026_match_summary,balls_left,38,1,0.0,81.0,10.684,6.0,15.774
ipl_2026_match_summary,highscore,38,1,34.0,152.0,79.447,77.5,24.521
ipl_2026_match_summary,total_runs,39,0,25.0,527.0,351.128,355.0,90.433
ipl_2026_match_summary,wickets,39,0,2.0,18.0,12.051,12.0,3.22
ipl_2026_match_summary,balls,39,0,22.0,244.0,220.718,233.0,40.559
