player,team,matches,innings,wickets,balls_bowled,runs_conceded,wides,noballs,dot_balls,maiden_overs,pp_runs,pp_balls,mid_runs,mid_balls,death_runs,death_balls,overs,economy,avg,strike_rate,pp_economy,mid_economy,death_economy,pp_workload_pct,mid_workload_pct,death_workload_pct,sample_reliability_score,bowling_phase,two_plus_hauls,four_plus_hauls,five_wicket_hauls,season_start_year
Harshal Patel,Sunrisers Hyderabad,5,5,1,84,148,2,0,18,0,21,6,96,61,31,17,14.0,10.57,148.0,84.0,21.0,9.44,10.94,0.071,0.726,0.202,0.662,mid_economy,0,0,0,2026
Jacob Duffy,Royal Challengers Bengaluru,6,6,11,145,263,11,1,58,0,158,79,70,54,35,12,24.1,10.88,23.91,13.18,12.0,7.78,17.5,0.545,0.372,0.083,0.875,mid_economy,1,1,1,2026
Jamie Overton,Chennai Super Kings,10,10,14,168,249,8,0,60,0,17,6,121,96,111,66,28.0,8.89,17.79,12.0,17.0,7.56,10.09,0.036,0.571,0.393,1.0,mid_economy,1,1,1,2026
Jason Holder,Gujarat Titans,11,11,17,230,290,5,1,94,0,20,12,229,186,41,32,38.2,7.57,17.06,13.53,10.0,7.39,7.69,0.052,0.809,0.139,1.0,mid_economy,1,1,1,2026
Jasprit Bumrah,Mumbai Indians,13,13,5,294,408,16,7,111,0,209,144,93,72,106,78,49.0,8.33,81.6,58.8,8.71,7.75,8.15,0.49,0.245,0.265,1.0,mid_economy,1,1,1,2026
Jaydev Unadkat,Sunrisers Hyderabad,4,4,4,77,140,1,0,23,0,83,42,15,12,42,23,12.5,10.91,35.0,19.25,11.86,7.5,10.96,0.545,0.156,0.299,0.571,mid_economy,1,1,0,2026
Jofra Archer,Rajasthan Royals,16,16,29,360,546,17,1,158,1,327,204,60,54,159,102,60.0,9.1,18.83,12.41,9.62,6.67,9.35,0.567,0.15,0.283,1.0,mid_economy,1,1,1,2026
Josh Hazlewood,Royal Challengers Bengaluru,13,13,15,309,493,12,0,126,0,260,156,98,72,135,81,51.3,9.57,32.87,20.6,10.0,8.17,10.0,0.505,0.233,0.262,1.0,mid_economy,1,1,1,2026
Kagiso Rabada,Gujarat Titans,17,17,29,388,625,12,0,172,2,445,270,68,46,112,72,64.4,9.66,21.55,13.38,9.89,8.87,9.33,0.696,0.119,0.186,1.0,mid_economy,1,1,1,2026
Kartik Tyagi,Kolkata Knight Riders,13,13,19,306,498,7,4,113,0,125,66,161,120,212,120,51.0,9.76,26.21,16.11,11.36,8.05,10.6,0.216,0.392,0.392,1.0,mid_economy,1,1,1,2026
Khaleel Ahmed,Chennai Super Kings,5,5,2,101,145,4,0,43,0,98,78,21,12,26,11,16.5,8.61,72.5,50.5,7.54,10.5,14.18,0.772,0.119,0.109,0.733,pp_economy,1,0,0,2026
Krish Bhagat,Mumbai Indians,3,3,0,36,63,0,0,15,0,28,18,0,0,35,18,6.0,10.5,,,9.33,,11.67,0.5,0.0,0.5,0.338,pp_economy,0,0,0,2026
