player,team,matches,innings,runs,balls_faced,fours,sixes,dismissals,not_outs,high_score,ducks,pp_runs,pp_balls,mid_runs,mid_balls,death_runs,death_balls,dot_balls,strike_rate,average,pp_strike_rate,mid_strike_rate,death_strike_rate,batting_phase,sample_reliability_score,balls_faced_per_match,boundary_rate,six_rate,four_rate,dot_ball_rate,season_start_year
Aniket Verma,Sunrisers Hyderabad,8,8,79,54,6,5,5,3,43,0,0,0,16,21,63,33,20,146.3,15.8,,76.19,190.91,death_strike_rate,0.725,6.75,0.204,0.093,0.111,0.37,2026
Anrich Nortje,Lucknow Super Giants,1,1,0,1,0,0,1,0,0,1,0,0,0,0,0,1,1,0.0,0.0,,,0.0,death_strike_rate,0.067,1.0,0.0,0.0,0.0,1.0,2026
Anshul Kamboj,Chennai Super Kings,4,4,59,38,3,4,1,3,19,0,0,0,19,8,40,30,8,155.26,59.0,,237.5,133.33,mid_strike_rate,0.408,9.5,0.184,0.105,0.079,0.211,2026
Anukul Roy,Kolkata Knight Riders,7,7,52,39,3,2,4,3,29,2,0,0,15,17,37,22,12,133.33,13.0,,88.24,168.18,death_strike_rate,0.6,5.57,0.128,0.051,0.077,0.308,2026
Arjun Tendulkar,Lucknow Super Giants,1,1,5,5,0,0,0,1,5,0,0,0,0,0,5,5,1,100.0,,,,100.0,death_strike_rate,0.083,5.0,0.0,0.0,0.0,0.2,2026
Arshad Khan,Gujarat Titans,2,2,23,11,1,2,1,1,15,0,0,0,15,6,8,5,2,209.09,23.0,,250.0,160.0,mid_strike_rate,0.171,5.5,0.273,0.182,0.091,0.182,2026
Arshdeep Singh,Punjab Kings,1,1,1,1,0,0,0,1,1,0,0,0,0,0,1,1,0,100.0,,,,100.0,death_strike_rate,0.067,1.0,0.0,0.0,0.0,0.0,2026
Arshin Kulkarni,Lucknow Super Giants,2,2,17,25,1,0,2,0,17,1,8,13,9,12,0,0,14,68.0,8.5,61.54,75.0,,mid_strike_rate,0.229,12.5,0.04,0.0,0.04,0.56,2026
Ashok Sharma,Gujarat Titans,2,2,1,4,0,0,0,2,1,0,0,0,1,3,0,1,3,25.0,,,33.33,0.0,mid_strike_rate,0.142,2.0,0.0,0.0,0.0,0.75,2026
Ashutosh Sharma,Delhi Capitals,8,8,171,94,15,12,5,3,39,0,0,0,26,23,145,71,30,181.91,34.2,,113.04,204.23,death_strike_rate,0.892,11.75,0.287,0.128,0.16,0.319,2026
Ashwani Kumar,Mumbai Indians,1,1,1,6,0,0,0,1,1,0,0,0,0,0,1,6,5,16.67,,,,16.67,death_strike_rate,0.088,6.0,0.0,0.0,0.0,0.833,2026
Auqib Nabi,Delhi Capitals,2,2,14,4,2,1,1,1,10,0,0,0,4,1,10,3,1,350.0,14.0,,400.0,333.33,mid_strike_rate,0.142,2.0,0.75,0.25,0.5,0.25,2026
Avesh Khan,Lucknow Super Giants,3,3,6,6,1,0,1,2,4,0,0,0,0,0,6,6,3,100.0,6.0,,,100.0,death_strike_rate,0.212,2.0,0.167,0.0,0.167,0.5,2026
Axar Patel,Delhi Capitals,11,11,173,132,16,6,9,2,56,2,8,9,120,94,45,29,44,131.06,19.22,88.89,127.66,155.17,death_strike_rate,1.0,12.0,0.167,0.045,0.121,0.333,2026
