player,total_runs,total_matches,total_balls_faced,total_fours,total_sixes,total_dismissed,avg_runs,highest_score,lowest_score,not_out_rate,duck_count,duck_rate,consistency_score,innings_above_30,innings_above_50,innings_above_30_pct,innings_above_50_pct,strike_rate,boundary_rate,six_rate,four_rate,boundary_runs_pct,dot_ball_rate,pp_runs_pct,mid_runs_pct,death_runs_pct,pp_strike_rate,mid_strike_rate,death_strike_rate,dominant_phase,avg_runs_in_wins,avg_runs_in_losses,team,typical_position,avg_position,position_role,batting_role
B Lee,124,19,97,8,8,10,6.53,25,0,0.474,1,0.053,6.92,0,0,0.0,0.0,127.84,0.165,0.082,0.082,0.645,0.423,0.0,0.097,0.903,,120.0,128.74,death,6.67,6.46,Kings XI Punjab,8,8.263157894736842,lower_order,tailender
B Sai Sudharsan,1906,44,1305,199,56,40,43.32,108,5,0.091,0,0.0,27.34,30,15,0.682,0.341,146.05,0.195,0.043,0.152,0.594,0.291,0.392,0.486,0.122,135.82,144.62,203.51,death,42.7,44.0,Gujarat Titans,1,2.0454545454545454,opener,aggressive_opener
BA Stokes,935,43,698,81,32,38,21.74,107,0,0.116,3,0.07,23.64,11,4,0.256,0.093,133.95,0.162,0.046,0.116,0.552,0.334,0.257,0.522,0.221,132.6,125.45,161.72,death,25.75,18.26,Rajasthan Royals,5,3.8863636363636362,middle_order,finisher
BB McCullum,2882,109,2190,293,130,104,26.44,158,0,0.046,6,0.055,26.79,44,15,0.404,0.138,131.6,0.193,0.059,0.134,0.677,0.432,0.54,0.397,0.063,127.21,131.65,186.6,death,32.73,20.04,Kolkata Knight Riders,2,1.837837837837838,opener,aggressive_opener
BB Samantray,125,8,113,13,2,5,15.62,55,0,0.375,1,0.125,19.89,2,1,0.25,0.125,110.62,0.133,0.018,0.115,0.512,0.398,0.12,0.544,0.336,71.43,109.68,140.0,death,18.17,8.0,Sunrisers Hyderabad,5,6.0,middle_order,middle_order
BB Sran,10,7,14,0,0,1,1.43,3,0,0.857,0,0.0,0.98,0,0,0.0,0.0,71.43,0.0,0.0,0.0,0.0,0.357,0.0,0.0,1.0,,,71.43,death,0.5,1.8,Kings XI Punjab,9,9.11111111111111,tailender,tailender
BCJ Cutting,238,17,141,15,19,11,14.0,39,0,0.353,1,0.059,11.15,2,0,0.118,0.0,168.79,0.241,0.135,0.106,0.731,0.376,0.0,0.092,0.908,,110.0,178.51,death,13.22,14.88,Mumbai Indians,6,6.294117647058823,middle_order,finisher
BJ Hodge,1400,63,1118,122,43,42,22.22,73,0,0.333,3,0.048,19.18,21,6,0.333,0.095,125.22,0.148,0.038,0.109,0.533,0.361,0.106,0.461,0.433,91.36,110.81,162.47,death,23.41,21.33,Rajasthan Royals,5,4.396825396825397,middle_order,finisher
BJ Rohrer,193,8,141,21,5,7,24.12,64,4,0.125,0,0.0,22.02,3,1,0.375,0.125,136.88,0.184,0.035,0.149,0.591,0.369,0.0,0.591,0.409,0.0,108.57,225.71,death,11.5,28.33,Delhi Daredevils,5,4.888888888888889,middle_order,finisher
Basil Thampi,32,7,35,1,1,1,4.57,13,0,0.857,0,0.0,5.19,0,0,0.0,0.0,91.43,0.057,0.029,0.029,0.312,0.4,0.0,0.094,0.906,,60.0,96.67,death,3.0,4.83,Gujarat Lions,9,9.375,tailender,tailender
Bipul Sharma,187,17,123,11,9,8,11.0,35,1,0.529,0,0.0,9.77,1,0,0.059,0.0,152.03,0.163,0.073,0.089,0.524,0.268,0.0,0.08,0.92,,107.14,157.8,death,11.83,10.55,Kings XI Punjab,8,7.529411764705882,lower_order,lower_order_hitter
C Green,763,33,499,67,34,21,23.12,100,0,0.364,1,0.03,23.2,13,3,0.394,0.091,152.91,0.202,0.068,0.134,0.619,0.283,0.266,0.434,0.3,162.4,127.8,199.13,death,30.13,17.28,Mumbai Indians,3,4.181818181818182,top_order,top_order_aggressor
C Munro,177,12,141,19,8,12,14.75,40,0,0.0,2,0.167,13.74,2,0,0.167,0.0,125.53,0.191,0.057,0.135,0.701,0.461,0.74,0.237,0.023,143.96,93.33,80.0,pp,19.4,11.43,Delhi Daredevils,3,2.9166666666666665,top_order,middle_order
C Sakariya,20,7,31,3,0,6,2.86,7,0,0.143,1,0.143,2.85,0,0,0.0,0.0,64.52,0.097,0.0,0.097,0.6,0.677,0.0,0.05,0.95,,25.0,70.37,death,7.0,2.17,Rajasthan Royals,10,9.75,tailender,tailender
C de Grandhomme,303,21,225,18,18,16,14.43,40,0,0.238,3,0.143,14.33,5,0,0.238,0.0,134.67,0.16,0.08,0.08,0.594,0.364,0.003,0.469,0.528,50.0,129.09,141.59,death,12.62,15.54,Royal Challengers Bangalore,6,6.0,middle_order,middle_order
CA Ingram,205,15,180,22,5,12,13.67,47,1,0.2,0,0.0,13.4,2,0,0.133,0.0,113.89,0.15,0.028,0.122,0.576,0.417,0.068,0.624,0.307,77.78,106.67,150.0,death,18.29,9.62,Delhi Capitals,5,4.666666666666667,middle_order,finisher
CA Lynn,1329,42,945,132,66,39,31.64,93,0,0.071,3,0.071,25.32,20,10,0.476,0.238,140.63,0.21,0.07,0.14,0.695,0.41,0.586,0.387,0.027,144.26,138.54,105.88,pp,32.38,30.9,Kolkata Knight Riders,1,1.7857142857142858,opener,aggressive_opener
CA Pujara,390,22,391,50,4,19,17.73,51,0,0.136,1,0.045,14.23,4,1,0.182,0.045,99.74,0.138,0.01,0.128,0.574,0.481,0.551,0.328,0.121,93.89,105.79,114.63,death,18.17,17.2,Royal Challengers Bangalore,1,2.9545454545454546,opener,anchor_opener
CH Gayle,4997,141,3346,408,359,126,35.44,175,0,0.106,8,0.057,33.14,62,38,0.44,0.27,149.34,0.229,0.107,0.122,0.758,0.438,0.481,0.402,0.116,135.57,156.13,204.58,death,47.21,25.08,Royal Challengers Bangalore,1,1.6896551724137931,opener,aggressive_opener
CH Morris,618,49,398,41,35,28,12.61,82,0,0.429,9,0.184,16.06,6,2,0.122,0.041,155.28,0.191,0.088,0.103,0.605,0.299,0.028,0.165,0.807,242.86,109.68,167.45,pp,10.36,13.51,Delhi Daredevils,8,7.196078431372549,lower_order,lower_order_hitter
CJ Anderson,538,29,423,40,31,22,18.55,95,0,0.241,2,0.069,21.7,7,3,0.241,0.103,127.19,0.168,0.073,0.095,0.643,0.442,0.097,0.578,0.325,85.25,121.01,166.67,death,26.0,14.63,Mumbai Indians,5,4.862068965517241,middle_order,finisher
CJ Ferguson,98,8,117,9,0,6,12.25,23,3,0.25,0,0.0,6.14,0,0,0.0,0.0,83.76,0.077,0.0,0.077,0.367,0.479,0.173,0.592,0.235,70.83,82.86,100.0,death,9.0,15.5,Pune Warriors,5,5.25,middle_order,middle_order
CJ Jordan,81,12,77,3,3,10,6.75,30,0,0.167,1,0.083,8.01,1,0,0.083,0.0,105.19,0.078,0.039,0.039,0.37,0.442,0.0,0.012,0.988,,16.67,112.68,death,5.5,7.0,Kings XI Punjab,8,7.846153846153846,lower_order,tailender
