player,avg_position,median_position,highest_position,lowest_position,typical_position,position_role
P Sahu,9.5,9.5,9,10,9,tailender
P Simran Singh,1.576271186440678,1.0,1,7,1,opener
PA Patel,1.9343065693430657,2.0,1,7,2,opener
PA Reddy,2.272727272727273,2.0,1,6,1,opener
PBB Rajapaksa,3.1538461538461537,3.0,3,4,3,top_order
PC Valthaty,2.217391304347826,2.0,2,4,2,opener
PD Collingwood,4.714285714285714,4.0,4,6,4,top_order
PD Salt,1.35,1.0,1,4,1,opener
PHKD Mendis,6.0,6.0,5,7,5,middle_order
PJ Cummins,7.96,8.0,7,9,8,lower_order
PJ Sangwan,8.733333333333333,9.0,8,10,9,tailender
PK Garg,4.2631578947368425,4.0,2,7,5,middle_order
PM Sarvesh Kumar,11.0,11.0,11,11,11,tailender
PN Mankad,4.333333333333333,3.0,2,8,3,top_order
PP Chawla,8.0,8.0,3,10,8,lower_order
PP Hinge,10.0,10.0,10,10,10,tailender
PP Ojha,10.347826086956522,10.0,9,11,10,tailender
PP Shaw,1.4050632911392404,1.0,1,2,1,opener
PR Shah,6.4,7.0,3,9,7,lower_order
PR Veer,7.0,7.0,7,7,7,lower_order
PSP Handscomb,4.0,4.0,4,4,4,top_order
PV Tambe,10.666666666666666,11.0,10,11,11,tailender
PVD Chameera,9.0,9.0,8,11,8,lower_order
PVSN Raju,11.0,11.0,11,11,11,tailender
PWA Mulder,9.0,9.0,9,9,9,tailender
PWH de Silva,7.684210526315789,8.0,5,9,8,lower_order
Pankaj Singh,9.4,9.0,9,10,9,tailender
Parvez Rasool,8.4,8.0,7,10,8,lower_order
Prince Yadav,9.666666666666666,10.0,9,10,10,tailender
Priyansh Arya,2.0,2.0,2,2,2,opener
Q de Kock,1.4745762711864407,1.0,1,2,1,opener
R Ashwin,7.163265306122449,8.0,1,10,8,lower_order
R Bhatia,7.489795918367347,7.0,4,10,7,lower_order
R Bishnoi,6.0,7.0,3,8,3,top_order
R Dhawan,7.666666666666667,8.0,6,9,8,lower_order
