player,team,season_start_year,batting_strength_score,bowling_strength_score,allrounder_index,is_batting_allrounder,is_bowling_allrounder,allrounder_role,total_runs,total_matches,total_balls_faced,avg_runs,strike_rate,batting_role,total_wickets,total_matches_bowled,total_balls_bowled,avg_wickets_per_match,economy_rate,bowling_role
A Raghuvanshi,Mumbai,2023.0,55.1,0.0,27.55,False,False,pure_batter,74.0,3.0,71.0,24.67,104.23,anchor_opener,,,,,,
A Sheth,Baroda,2024.0,47.93,93.98,70.96,False,True,bowling_allrounder,215.0,24.0,168.0,8.96,127.98,tailender,59.0,44.0,888.0,1.341,7.89,death_bowler
A Singhania,Meghalaya,2020.0,29.92,68.97,49.44,False,False,pure_bowler,44.0,8.0,55.0,5.5,80.0,tailender,9.0,13.0,203.0,0.692,7.18,middle_overs_bowler
A Thapa,Arunachal Pradesh,2023.0,0.0,77.32,38.66,False,False,pure_bowler,0.0,1.0,3.0,0.0,0.0,tailender,1.0,1.0,6.0,1.0,15.0,part_time_bowler
A Tomar,Rajasthan,2018.0,25.19,0.0,12.6,False,False,pure_batter,37.0,4.0,59.0,9.25,62.71,anchor_opener,,,,,,
AA Bamal,Services,2017.0,50.17,67.19,58.68,False,False,pure_bowler,26.0,4.0,19.0,6.5,136.84,middle_order,3.0,5.0,120.0,0.6,5.9,middle_overs_bowler
AA Barot,Saurashtra,2020.0,72.15,79.19,75.67,False,False,pure_batter,348.0,11.0,219.0,31.64,158.9,aggressive_opener,1.0,1.0,18.0,1.0,10.33,part_time_bowler
AA Chakraborty,Tripura,2018.0,16.02,58.64,37.33,False,False,pure_bowler,4.0,3.0,9.0,1.33,44.44,tailender,4.0,10.0,204.0,0.4,7.09,middle_overs_bowler
AA Choudhury,Assam,2023.0,0.0,43.32,21.66,False,False,unknown,,,,,,,0.0,3.0,36.0,0.0,7.33,part_time_bowler
AA Herwadkar,Mumbai,2022.0,61.24,43.29,52.26,False,False,pure_batter,465.0,17.0,414.0,27.35,112.32,anchor_opener,0.0,2.0,19.0,0.0,8.21,part_time_bowler
AA Kargave,Puducherry,2022.0,72.13,0.0,36.06,False,False,pure_batter,35.0,1.0,41.0,35.0,85.37,top_order_anchor,,,,,,
AA Kazi,Nagaland,2018.0,52.37,40.69,46.53,False,False,pure_batter,61.0,4.0,54.0,15.25,112.96,finisher,0.0,4.0,71.0,0.0,9.72,middle_overs_bowler
AA Sanklecha,Maharashtra,2015.0,56.08,90.84,73.46,False,False,pure_bowler,14.0,3.0,9.0,4.67,155.56,middle_order,5.0,4.0,87.0,1.25,8.14,powerplay_bowler
AA Sarwate,Vidarbha,2022.0,0.0,94.52,47.26,False,False,pure_bowler,,,,,,,7.0,5.0,90.0,1.4,7.0,middle_overs_bowler
AB Bhadoriya,Madhya Pradesh,2022.0,0.0,47.07,23.54,False,False,unknown,,,,,,,0.0,2.0,42.0,0.0,6.14,part_time_bowler
AB Dinda,Bengal,2020.0,34.56,79.09,56.82,False,False,pure_bowler,59.0,9.0,64.0,6.56,92.19,tailender,25.0,27.0,567.0,0.926,7.86,death_bowler
ABB Sangma,Meghalaya,2023.0,14.12,0.0,7.06,False,False,pure_batter,7.0,1.0,21.0,7.0,33.33,anchor_opener,,,,,,
AD Chopra,Mizoram,2023.0,81.34,0.0,40.67,False,False,pure_batter,113.0,3.0,68.0,37.67,166.18,aggressive_opener,,,,,,
AD Nath,Uttar Pradesh,2022.0,58.42,63.23,60.82,True,True,batting_allrounder,700.0,34.0,578.0,20.59,121.11,middle_order,5.0,8.0,99.0,0.625,8.61,death_bowler
AG Jungade,Vidarbha,2015.0,28.35,59.57,43.96,False,False,pure_bowler,6.0,1.0,8.0,6.0,75.0,tailender,1.0,2.0,30.0,0.5,9.4,part_time_bowler
AG Paunikar,Railways,2018.0,47.58,0.0,23.79,False,False,pure_batter,82.0,7.0,66.0,11.71,124.24,middle_order,,,,,,
AG Rao,Chhattisgarh,2020.0,25.86,60.45,43.16,False,False,pure_bowler,17.0,2.0,26.0,8.5,65.38,middle_order,1.0,2.0,24.0,0.5,8.25,part_time_bowler
AG Sehrawat,Railways,2017.0,22.84,0.0,11.42,False,False,pure_batter,18.0,2.0,32.0,9.0,56.25,middle_order,,,,,,
AH Hooda,Haryana,2018.0,7.18,74.46,40.82,False,False,pure_bowler,2.0,4.0,10.0,0.5,20.0,tailender,18.0,24.0,444.0,0.75,7.23,death_bowler
AH Passi,Baroda,2023.0,0.0,183.48,91.74,False,False,pure_bowler,,,,,,,4.0,1.0,18.0,4.0,8.67,part_time_bowler
