player,total_runs,total_matches,total_balls_faced,total_fours,total_sixes,total_dismissed,avg_runs,highest_score,lowest_score,not_out_rate,duck_count,duck_rate,consistency_score,innings_above_30,innings_above_50,innings_above_30_pct,innings_above_50_pct,strike_rate,boundary_rate,six_rate,four_rate,boundary_runs_pct,dot_ball_rate,pp_runs,mid_runs,death_runs,pp_balls_faced,mid_balls_faced,death_balls_faced,pp_runs_pct,mid_runs_pct,death_runs_pct,pp_strike_rate,mid_strike_rate,death_strike_rate,dominant_phase,avg_runs_in_wins,avg_runs_in_losses,balls_faced_per_match,sample_reliability_score,team,season_start_year,avg_position,median_position,highest_position,lowest_position,typical_position,position_role,batting_role,eligible_for_model,cluster_id,cluster_label,archetype_role,archetype_role_match_score
AR Pandey,104,7,87,12,2,7,14.86,33,1,0.0,0,0.0,12.13,1,0,0.143,0.0,119.54,0.161,0.023,0.138,0.577,0.391,0,75,29,0,55,32,0.0,0.721,0.279,,136.36,90.62,middle,14.5,15.0,12.43,0.8,Railways,2023,7.285714285714286,7.0,6,8,7,lower_order,tailender,True,1,batting_tailender_cluster_1,tailender,100.0
AR Patel,484,18,378,39,15,14,26.89,70,0,0.222,3,0.167,19.49,8,2,0.444,0.111,128.04,0.143,0.04,0.103,0.508,0.294,28,327,129,26,269,83,0.058,0.676,0.267,107.69,121.56,155.42,death,22.14,29.91,21.0,1.0,Gujarat,2020,4.894736842105263,5.0,3,6,5,middle_order,finisher,True,0,batting_aggressive_opener_cluster_0,aggressive_opener,0.0
ARB Singh,20,3,30,2,0,3,6.67,11,0,0.0,1,0.333,5.86,0,0,0.0,0.0,66.67,0.067,0.0,0.067,0.4,0.567,13,7,0,22,8,0,0.65,0.35,0.0,59.09,87.5,,middle,,6.67,10.0,0.312,Railways,2017,3.3333333333333335,3.0,2,5,2,opener,anchor_opener,True,2,batting_tailender_cluster_2,tailender,0.0
AS Karambelkar,24,3,20,1,0,2,8.0,12,3,0.333,0,0.0,4.58,0,0,0.0,0.0,120.0,0.05,0.0,0.05,0.167,0.15,0,0,24,0,0,20,0.0,0.0,1.0,,,120.0,death,6.0,12.0,6.67,0.271,Baroda,2019,7.666666666666667,8.0,7,8,8,lower_order,tailender,True,2,batting_tailender_cluster_2,tailender,100.0
AS Rajpoot,23,6,32,1,1,2,3.83,8,0,0.667,0,0.0,3.25,0,0,0.0,0.0,71.88,0.062,0.031,0.031,0.435,0.531,0,7,16,0,10,22,0.0,0.304,0.696,,70.0,72.73,death,,3.83,5.33,0.508,Uttar Pradesh,2021,10.0,10.0,9,11,10,tailender,tailender,True,2,batting_tailender_cluster_2,tailender,100.0
AS Raut,200,13,204,22,2,12,15.38,41,2,0.077,0,0.0,12.51,2,0,0.154,0.0,98.04,0.118,0.01,0.108,0.5,0.426,13,119,68,22,118,64,0.065,0.595,0.34,59.09,100.85,106.25,death,24.75,11.22,15.69,1.0,Odisha,2021,5.785714285714286,6.0,3,8,6,middle_order,middle_order,True,1,batting_tailender_cluster_1,tailender,0.0
AS Roy,250,17,144,14,16,8,14.71,47,0,0.529,0,0.0,15.47,4,0,0.235,0.0,173.61,0.208,0.111,0.097,0.608,0.257,9,44,197,3,44,97,0.036,0.176,0.788,300.0,100.0,203.09,powerplay,11.71,16.8,8.47,1.0,Jharkhand,2021,5.894736842105263,6.0,1,7,6,middle_order,finisher,True,0,batting_aggressive_opener_cluster_0,aggressive_opener,0.0
AT Rayudu,555,24,434,38,23,19,23.12,77,0,0.208,1,0.042,21.1,7,4,0.292,0.167,127.88,0.141,0.053,0.088,0.523,0.313,102,293,160,84,256,94,0.184,0.528,0.288,121.43,114.45,170.21,death,27.43,21.35,18.08,1.0,Hyderabad (India),2022,4.083333333333333,4.0,2,6,4,top_order,finisher,True,0,batting_aggressive_opener_cluster_0,aggressive_opener,0.0
AUK Pathan,174,6,142,23,1,5,29.0,81,6,0.167,0,0.0,27.48,2,1,0.333,0.167,122.54,0.169,0.007,0.162,0.563,0.359,88,68,18,73,55,14,0.506,0.391,0.103,120.55,123.64,128.57,death,29.5,28.75,23.67,0.875,Railways,2015,1.0,1.0,1,1,1,opener,aggressive_opener,True,0,batting_aggressive_opener_cluster_0,aggressive_opener,100.0
AV Kolhar,125,6,107,12,1,4,20.83,45,3,0.333,0,0.0,15.07,1,0,0.167,0.0,116.82,0.121,0.009,0.112,0.432,0.318,80,45,0,74,33,0,0.64,0.36,0.0,108.11,136.36,,middle,27.5,7.5,17.83,0.821,Vidarbha,2019,2.0,2.0,2,2,2,opener,anchor_opener,True,0,batting_aggressive_opener_cluster_0,aggressive_opener,0.0
