player,total_wickets,total_matches_bowled,total_balls_bowled,total_runs_conceded,total_wides,total_noballs,economy_rate,bowling_average,bowling_strike_rate,avg_wickets_per_match,bowling_consistency,two_plus_hauls,two_plus_haul_rate,bowling_dot_rate,wide_rate,noball_rate,pp_runs_conceded,mid_runs_conceded,death_runs_conceded,pp_balls_bowled,mid_balls_bowled,death_balls_bowled,pp_economy,mid_economy,death_economy,pp_workload_pct,mid_workload_pct,death_workload_pct,dominant_phase,bowling_role,wickets_in_wins,wickets_in_losses,balls_bowled_per_match,sample_reliability_score,team,season_start_year,eligible_for_model
R Sai Kishore,44,39,843,781,23,0,5.56,17.75,19.16,1.128,1.22,11,0.282,0.465,0.59,0.0,300,358,123,336,395,112,5.36,5.44,6.59,0.399,0.469,0.133,powerplay,powerplay_bowler,1.37,0.33,21.62,1.0,Tamil Nadu,2023,True
R Sanjay Yadav,17,20,414,478,13,0,6.93,28.12,24.35,0.85,0.81,5,0.25,0.379,0.65,0.0,110,197,171,120,192,102,5.5,6.16,10.06,0.29,0.464,0.246,powerplay,middle_overs_bowler,1.0,0.67,20.7,1.0,Meghalaya,2023,True
R Sathish,4,4,84,77,5,0,5.5,19.25,21.0,1.0,0.82,1,0.25,0.512,1.25,0.0,51,26,0,60,24,0,5.1,6.5,,0.714,0.286,0.0,powerplay,powerplay_bowler,1.0,,21.0,0.6,Tamil Nadu,2015,True
R Shukla,22,20,384,577,15,1,9.02,26.23,17.45,1.1,1.33,7,0.35,0.352,0.75,0.05,220,83,274,168,66,150,7.86,7.55,10.96,0.438,0.172,0.391,middle,death_bowler,1.67,0.64,19.2,1.0,Jharkhand,2021,True
R Tewatia,17,26,381,460,4,0,7.24,27.06,22.41,0.654,0.85,4,0.154,0.341,0.154,0.0,36,359,65,30,312,39,7.2,6.9,10.0,0.079,0.819,0.102,middle,middle_overs_bowler,0.82,0.33,14.65,1.0,Haryana,2023,True
R Vinay Kumar,34,28,608,708,11,4,6.99,20.82,17.88,1.214,1.17,10,0.357,0.423,0.393,0.143,347,65,296,336,60,212,6.2,6.5,8.38,0.553,0.099,0.349,powerplay,death_bowler,1.16,1.33,21.71,1.0,Karnataka,2019,True
RA Bawa,2,1,24,27,0,0,6.75,13.5,12.0,2.0,0.0,1,1.0,0.458,0.0,0.0,0,27,0,0,24,0,,6.75,,0.0,1.0,0.0,middle,part_time_bowler,,2.0,24.0,0.162,Chandigarh,2024,False
RA Sharma,1,1,18,18,0,0,6.0,18.0,18.0,1.0,0.0,0,0.0,0.444,0.0,0.0,12,6,0,12,6,0,6.0,6.0,,0.667,0.333,0.0,powerplay,part_time_bowler,,1.0,18.0,0.138,Railways,2023,False
RA Tripathi,4,9,108,140,3,1,7.78,35.0,27.0,0.444,0.88,2,0.222,0.296,0.333,0.111,12,124,4,12,90,6,6.0,8.27,4.0,0.111,0.833,0.056,death,middle_overs_bowler,0.8,0.0,12.0,0.95,Maharashtra,2023,True
RB Bishnoi Jr,6,5,114,130,8,0,6.84,21.67,19.0,1.2,1.1,1,0.2,0.316,1.6,0.0,36,75,19,24,72,18,9.0,6.25,6.33,0.211,0.632,0.158,middle,middle_overs_bowler,,1.2,22.8,0.788,Arunachal Pradesh,2023,True
RD Banik,1,2,18,37,0,0,12.33,37.0,18.0,0.5,0.71,0,0.0,0.222,0.0,0.0,0,23,14,0,12,6,,11.5,14.0,0.0,0.667,0.333,middle,part_time_bowler,,0.5,9.0,0.2,Tripura,2015,False
RD Chahar,26,19,415,462,2,0,6.68,17.77,15.96,1.368,1.42,8,0.421,0.393,0.105,0.0,95,339,28,78,306,31,7.31,6.65,5.42,0.188,0.737,0.075,death,middle_overs_bowler,1.75,0.71,21.84,1.0,Rajasthan,2022,True
RD Hynniewta,0,1,12,13,0,0,6.5,,,0.0,0.0,0,0.0,0.333,0.0,0.0,0,13,0,0,12,0,,6.5,,0.0,1.0,0.0,middle,part_time_bowler,,0.0,12.0,0.112,Meghalaya,2023,False
RG More,14,12,246,374,14,0,9.12,26.71,17.57,1.167,1.27,5,0.417,0.394,1.167,0.0,183,60,131,138,36,72,7.96,10.0,10.92,0.561,0.146,0.293,powerplay,powerplay_bowler,1.44,0.33,20.5,1.0,Karnataka,2020,True
RH Bhatt,3,7,101,125,2,0,7.43,41.67,33.67,0.429,0.53,0,0.0,0.218,0.286,0.0,0,120,5,0,95,6,,7.58,5.0,0.0,0.941,0.059,death,middle_overs_bowler,0.75,0.0,14.43,0.858,Gujarat,2017,True
RJ Balhara,0,1,12,17,0,0,8.5,,,0.0,0.0,0,0.0,0.583,0.0,0.0,17,0,0,12,0,0,8.5,,,1.0,0.0,0.0,powerplay,part_time_bowler,0.0,,12.0,0.112,Haryana,2019,False
RK Bhui,0,1,18,19,0,0,6.33,,,0.0,0.0,0,0.0,0.222,0.0,0.0,0,5,14,0,6,12,,5.0,7.0,0.0,0.333,0.667,middle,part_time_bowler,0.0,,18.0,0.138,Andhra,2018,False
RK Singh,2,2,30,35,1,0,7.0,17.5,15.0,1.0,0.0,0,0.0,0.267,0.5,0.0,0,24,11,0,24,6,,6.0,11.0,0.0,0.8,0.2,middle,part_time_bowler,1.0,1.0,15.0,0.25,Uttar Pradesh,2021,False
RL Jangid,15,20,378,424,11,0,6.73,28.27,25.2,0.75,0.97,5,0.25,0.304,0.55,0.0,79,236,109,78,228,72,6.08,6.21,9.08,0.206,0.603,0.19,powerplay,middle_overs_bowler,0.82,0.67,18.9,1.0,Vidarbha,2018,True
RM Dagar,0,1,6,6,0,0,6.0,,,0.0,0.0,0,0.0,0.167,0.0,0.0,0,6,0,0,6,0,,6.0,,0.0,1.0,0.0,middle,part_time_bowler,,0.0,6.0,0.088,Haryana,2015,False
RN Gurbani,12,15,288,399,12,0,8.31,33.25,24.0,0.8,0.77,1,0.067,0.431,0.8,0.0,265,21,113,210,24,54,7.57,5.25,12.56,0.729,0.083,0.188,middle,powerplay_bowler,1.14,0.5,19.2,1.0,Vidarbha,2019,True
RP Singh,14,9,216,233,4,0,6.47,16.64,15.43,1.556,1.13,3,0.333,0.407,0.444,0.0,130,51,52,138,42,36,5.65,7.29,8.67,0.639,0.194,0.167,powerplay,powerplay_bowler,2.0,0.67,24.0,1.0,Gujarat,2015,True
RR Biswa,7,10,210,270,4,0,7.71,38.57,30.0,0.7,0.82,2,0.2,0.229,0.4,0.0,64,182,24,54,138,18,7.11,7.91,8.0,0.257,0.657,0.086,powerplay,middle_overs_bowler,1.0,0.57,21.0,1.0,Meghalaya,2019,True
RR Raje,7,4,84,114,0,0,8.14,16.29,12.0,1.75,1.26,3,0.75,0.429,0.0,0.0,30,28,56,24,24,36,7.5,7.0,9.33,0.286,0.286,0.429,middle,death_bowler,2.0,1.5,21.0,0.6,Mumbai,2015,True
RR Rathod,0,1,6,11,0,0,11.0,,,0.0,0.0,0,0.0,0.5,0.0,0.0,11,0,0,6,0,0,11.0,,,1.0,0.0,0.0,powerplay,part_time_bowler,0.0,,6.0,0.088,Vidarbha,2018,False
RR Singh,3,6,140,155,6,0,6.64,51.67,46.67,0.5,0.55,0,0.0,0.486,1.0,0.0,80,23,52,90,18,32,5.33,7.67,9.75,0.643,0.129,0.229,powerplay,powerplay_bowler,1.0,0.4,23.33,0.875,Goa,2015,True
