player,total_runs,total_matches,total_balls_faced,total_fours,total_sixes,total_dismissed,avg_runs,highest_score,lowest_score,not_out_rate,duck_count,duck_rate,consistency_score,innings_above_30,innings_above_50,innings_above_30_pct,innings_above_50_pct,strike_rate,boundary_rate,six_rate,four_rate,boundary_runs_pct,dot_ball_rate,pp_runs,mid_runs,death_runs,pp_balls_faced,mid_balls_faced,death_balls_faced,pp_runs_pct,mid_runs_pct,death_runs_pct,pp_strike_rate,mid_strike_rate,death_strike_rate,dominant_phase,avg_runs_in_wins,avg_runs_in_losses,balls_faced_per_match,sample_reliability_score,team,season_start_year,avg_position,median_position,highest_position,lowest_position,typical_position,position_role,batting_role,eligible_for_model
AL Menaria,401,23,356,24,18,21,17.43,40,0,0.087,1,0.043,13.23,5,0,0.217,0.0,112.64,0.118,0.051,0.067,0.509,0.396,8,296,97,8,268,80,0.02,0.738,0.242,100.0,110.45,121.25,death,18.89,16.5,15.48,1.0,Rajasthan Royals,2013,4.695652173913044,5.0,3,7,4,top_order,middle_order,True
AM Nayar,672,50,577,55,20,38,13.44,45,0,0.24,3,0.06,12.26,6,0,0.12,0.0,116.46,0.13,0.035,0.095,0.506,0.386,65,297,310,73,307,197,0.097,0.442,0.461,89.04,96.74,157.36,death,10.8,14.57,11.54,1.0,Mumbai Indians,2014,5.18,6.0,1,8,6,middle_order,finisher,True
AM Rahane,5184,188,4127,523,132,169,27.57,105,0,0.101,13,0.069,23.97,73,36,0.388,0.191,125.61,0.159,0.032,0.127,0.556,0.361,2637,2038,509,2139,1665,323,0.509,0.393,0.098,123.28,122.4,157.59,death,31.07,24.37,21.95,1.0,Rajasthan Royals,2026,1.9734042553191489,2.0,1,8,1,opener,aggressive_opener,True
AN Ahmed,36,6,26,4,1,1,6.0,18,1,0.833,0,0.0,6.03,0,0,0.0,0.0,138.46,0.192,0.038,0.154,0.611,0.385,0,0,36,0,0,26,0.0,0.0,1.0,,,138.46,death,4.5,6.75,4.33,0.483,Royal Challengers Bangalore,2015,9.0,9.0,7,10,9,tailender,tailender,True
AN Ghosh,7,2,8,1,0,2,3.5,7,0,0.0,1,0.5,4.95,0,0,0.0,0.0,87.5,0.125,0.0,0.125,0.571,0.625,7,0,0,7,1,0,1.0,0.0,0.0,100.0,0.0,,powerplay,,3.5,4.0,0.158,Kolkata Knight Riders,2009,4.5,4.5,3,6,3,top_order,middle_order,False
AP Dole,34,2,22,3,1,2,17.0,30,4,0.0,0,0.0,18.38,1,0,0.5,0.0,154.55,0.182,0.045,0.136,0.529,0.273,0,1,33,0,2,20,0.0,0.029,0.971,,50.0,165.0,death,4.0,30.0,11.0,0.217,Rajasthan Royals,2009,9.5,9.5,9,10,9,tailender,tailender,False
AP Majumdar,87,4,76,7,2,4,21.75,31,9,0.0,0,0.0,10.63,2,0,0.5,0.0,114.47,0.118,0.026,0.092,0.46,0.355,21,64,2,15,58,3,0.241,0.736,0.023,140.0,110.34,66.67,powerplay,,21.75,19.0,0.567,Pune Warriors,2012,4.5,4.5,4,5,4,top_order,middle_order,False
AP Tare,339,27,273,40,11,24,12.56,59,0,0.111,5,0.185,13.08,2,1,0.074,0.037,124.18,0.187,0.04,0.147,0.667,0.476,226,73,40,202,45,26,0.667,0.215,0.118,111.88,162.22,153.85,middle,17.0,9.94,10.11,1.0,Mumbai Indians,2017,3.5,3.0,1,7,2,opener,anchor_opener,True
AR Bawne,12,1,12,1,0,0,12.0,12,12,1.0,0,0.0,0.0,0,0,0.0,0.0,100.0,0.083,0.0,0.083,0.333,0.333,0,0,12,0,0,12,0.0,0.0,1.0,,,100.0,death,,12.0,12.0,0.112,Delhi Daredevils,2017,7.0,7.0,7,7,7,lower_order,tailender,False
AR Patel,1919,126,1436,130,94,90,15.23,66,0,0.286,8,0.063,13.64,19,3,0.151,0.024,133.64,0.156,0.065,0.091,0.565,0.329,72,880,967,65,744,627,0.038,0.459,0.504,110.77,118.28,154.23,death,16.22,14.68,11.4,1.0,Delhi Capitals,2026,6.3858267716535435,7.0,3,9,7,lower_order,tailender,True
AS Joseph,27,5,32,3,0,1,5.4,15,0,0.8,1,0.2,6.02,0,0,0.0,0.0,84.38,0.094,0.0,0.094,0.444,0.5,0,3,24,0,3,29,0.0,0.111,0.889,,100.0,82.76,middle,5.33,5.5,6.4,0.446,Gujarat Titans,2023,9.0,9.0,8,10,9,tailender,tailender,True
AS Rajpoot,26,7,41,2,1,5,3.71,8,1,0.286,0,0.0,2.75,0,0,0.0,0.0,63.41,0.073,0.024,0.049,0.538,0.659,0,1,25,0,5,36,0.0,0.038,0.962,,20.0,69.44,death,,3.71,5.86,0.608,Kings XI Punjab,2020,10.571428571428571,11.0,10,11,11,tailender,tailender,True
AS Raut,194,16,167,13,7,9,12.12,36,0,0.438,1,0.062,11.89,2,0,0.125,0.0,116.17,0.12,0.042,0.078,0.485,0.371,7,67,120,6,58,103,0.036,0.345,0.619,116.67,115.52,116.5,powerplay,12.33,12.08,10.44,1.0,Rajasthan Royals,2011,6.8125,7.0,4,8,7,lower_order,tailender,True
